"player_api_id","num_appearences","num_leagues","player_name","overall_rating","gk_rating"
23355,3,1,"Hameur Bouazza",70,46
23358,63,1,"Adrian Mariappa",71,46
23369,103,1,"Andy Wilkinson",68,48
23370,17,1,"Martin Paterson",64,47
23371,3,1,"Carl Dickinson",63,34
23377,24,1,"Garry Monk",67,38
23412,17,1,"Lewis Guy",60,44
23415,69,1,"Paul Heffernan",64,37
23425,12,1,"Greg Halford",66,55
23426,1,1,"Wayne Brown",64,43
23431,2,1,"Chris Iwelumo",62,37
23435,43,1,"George Elokobi",62,43
23438,27,1,"Richard Garcia",62,32
23445,6,1,"Steve Banks",58,239
23446,66,1,"Jack Ross",64,121
23453,1,1,"Paul Rachubka",60,245
23463,9,1,"Pawel Abbott",59,41
23464,29,1,"Gary Taylor-Fletcher",67,29
23499,3,1,"Aaron Wilbraham",65,42
23507,68,1,"Michael Nelson",60,54
23512,120,1,"Jon Daly",62,44
23528,13,1,"Andrew Crofts",69,38
23538,164,1,"Matt Jarvis",73,30
23563,9,1,"Caleb Folan",64,39
23571,75,1,"Wes Morgan",78,31
23574,120,1,"Kris Commons",73,4
23575,1,1,"Scott Dobie",59,31
23579,41,1,"James Perch",70,33
23587,96,2,"Felix Bastians",72,45
23593,12,1,"Bradley Orr",65,49
23605,1,1,"Dean Windass",66,121
23628,29,1,"Pierre Wome",72,36
23629,66,1,"Andrew Surman",73,45
23660,149,1,"Jim Goodwin",66,37
23675,87,1,"Marcio Mossoro",74,49
23678,174,2,"Alex Song",78,50
23686,69,1,"Manuel Almunia",71,286
23688,110,2,"Mathieu Flamini",76,31
23692,11,1,"Calvin Zola Makongo",60,40
23697,57,1,"Carl Tremarco",61,37
23720,17,1,"William Haining",54,52
23724,2,1,"Chris Killen",64,35
23727,18,1,"Marc Tierney",66,36
23728,21,1,"Chris Porter",60,43
23729,22,1,"Chris Swailes",60,97
23732,8,1,"Matthew Connolly",70,34
23736,11,1,"Keith Southern",64,32
23740,106,1,"Scott Vernon",61,37
23755,35,1,"Joe Cardle",63,44
23760,41,1,"David Bentley",73,40
23765,76,1,"Patrick Cregg",63,45
23772,56,1,"Graham Stack",58,231
23779,23,3,"Quincy Owusu-Abeyie",72,43
23780,162,1,"Aaron Hughes",70,45
23781,2,1,"Eric Djemba-Djemba",64,30
23782,258,1,"Gareth Barry",79,41
23783,233,1,"Gary Cahill",82,38
23784,35,1,"Gavin McCann",71,30
23785,50,1,"Jlloyd Samuel",70,41
23787,140,1,"Liam Ridgewell",71,42
